feature,model,accuracy,precision,recall,f1,train_seconds
Count Vectorizer,RNN,0.2644444444444444,0.2894539873754666,0.36434406090554533,0.22420602613548743,4.761151099577546
Count Vectorizer,Bidirectional RNN,0.19777777777777777,0.29766620764826607,0.3545503705223303,0.17013174265418884,7.431101500988007
Count Vectorizer,LSTM,0.2611111111111111,0.3252763516985153,0.3564076519429478,0.21103989878653204,5.198645299300551
TF-IDF,RNN,0.3411111111111111,0.22658097564915128,0.300046757674677,0.20068524495013684,6.24068189971149
TF-IDF,Bidirectional RNN,0.33666666666666667,0.18696247745873215,0.24327148363691334,0.16490158323492324,10.590019199997187
TF-IDF,LSTM,0.23333333333333334,0.03888888888888889,0.16666666666666666,0.06306306306306307,11.903612799942493
PMI,RNN,0.24333333333333335,0.2820611569056017,0.3671243280271321,0.20901587665393515,4.749947501346469
PMI,Bidirectional RNN,0.19,0.3209951167191561,0.3419686420659514,0.16385526414213378,8.495745999738574
PMI,LSTM,0.2577777777777778,0.3070581307452201,0.34697477844840097,0.25906590720979855,6.3062278013676405
Word2Vec,RNN,0.5166666666666667,0.607955557996564,0.7398378387457066,0.5656103956501158,1.74273020029068
Word2Vec,Bidirectional RNN,0.4922222222222222,0.577249684208513,0.7102423586142693,0.5067082067654102,3.316339898854494
Word2Vec,LSTM,0.37555555555555553,0.601701211556192,0.6457388777318299,0.44911213336127376,2.2081505991518497
GloVe,RNN,0.47444444444444445,0.588695152560916,0.6908343560637417,0.5796565185735859,1.6433917991816998
GloVe,Bidirectional RNN,0.6033333333333334,0.6717762038500737,0.7032764338320417,0.6503875616409703,3.102010801434517
GloVe,LSTM,0.38333333333333336,0.571253709982268,0.6687290805143764,0.4555868408469738,1.8730766996741295
